N,P,K,temperature,ph,label
90,42,43,20.87974371,6.5,rice
85,58,41,21.77046169,7.04,rice
60,55,44,23.00445915,7.84,rice
74,35,40,26.49109635,6.98,rice
78,42,42,20.13017482,7.63,rice
69,37,42,23.05804872,7.07,rice
69,55,38,22.70883798,5.7,rice
94,53,40,20.27774362,5.72,rice
89,54,38,24.51588066,6.69,rice
68,58,38,23.22397386,6.34,rice
91,53,40,26.52723513,5.39,rice
90,46,42,23.97898217,7.5,rice
78,58,44,26.80079604,5.11,rice
93,56,36,24.01497622,6.98,rice
94,50,37,25.66585205,6.95,rice
60,48,39,24.28209415,7.04,rice
85,38,41,21.58711777,6.25,rice
91,35,39,23.79391957,6.97,rice
77,38,36,21.8652524,5.95,rice
88,35,40,23.57943626,5.85,rice
89,45,36,21.32504158,6.44,rice
76,40,43,25.15745531,5.07,rice
67,59,41,21.94766735,6.01,rice
83,41,43,21.0525355,6.25,rice
98,47,37,23.48381344,7.38,rice
66,53,41,25.0756354,7.78,rice
97,59,43,26.35927159,6.29,rice
97,50,41,24.52922681,7.07,rice
60,49,44,20.77576147,6.24,rice
84,51,35,22.30157427,6.04,rice
73,57,41,21.44653958,5.82,rice
92,35,40,22.17931888,6.36,rice
85,37,39,24.52783742,6.36,rice
98,53,38,20.26707606,5.01,rice
88,54,44,25.7354293,6.15,rice
95,55,42,26.79533926,5.95,rice
99,57,35,26.75754171,5.96,rice
95,39,36,23.86330467,5.56,rice
60,43,44,21.01944696,7.42,rice
63,44,41,24.17298839,5.58,rice
62,42,36,22.78133816,6.43,rice
64,45,43,25.62980105,5.53,rice
83,60,36,25.59704938,6.9,rice
82,40,40,23.83067496,6.27,rice
85,52,45,26.31355498,7.22,rice
91,35,38,24.8972823,6.13,rice
76,49,42,24.958779,5.21,rice
74,39,38,23.24113501,7.78,rice
79,43,39,21.66628296,7.06,rice
88,55,45,24.63544858,7.73,rice
60,36,43,23.43121862,5.29,rice
76,60,39,20.0454142,6.77,rice
93,56,42,23.85724032,7.38,rice
65,60,43,21.97199397,5.66,rice
95,52,36,26.22916897,5.54,rice
75,38,39,23.44676801,6.22,rice
74,54,38,25.65553461,7.12,rice
91,36,45,24.44345477,5.95,rice
71,46,40,20.2801937,7.24,rice
99,55,35,21.7238313,6.5,rice
72,40,38,20.41447029,7.59,rice
83,58,45,25.75528612,5.88,rice
93,58,38,20.61521424,6.93,rice
70,36,42,21.84106875,6.95,rice
76,47,42,20.08369642,5.74,rice
99,41,36,24.45802087,6.74,rice
99,54,37,21.14347496,5.59,rice
86,59,35,25.78720567,6.95,rice
69,46,41,23.64124821,5.01,rice
91,56,37,23.43191632,6.36,rice
61,52,41,24.97669518,6.88,rice
67,45,38,22.72791041,7.3,rice
79,42,37,24.87300744,6.59,rice
78,43,42,21.32376327,7.28,rice
75,54,36,26.29465461,7.02,rice
97,36,45,22.2286982,6.94,rice
67,47,44,26.73072391,7.87,rice
73,35,38,24.88921174,5.01,rice
77,36,37,26.88444878,6.14,rice
81,41,38,22.67846116,7.52,rice
68,57,43,26.08867875,5.71,rice
